Cuisine Class,count
North Indian,2992
Chinese,855
Fast Food,672
Other,653
Bakery,621
Cafe,617
American,278
South Indian,262
Mithai,246
Street Food,236
Continental,235
Italian,234
Pizza,232
Mughlai,215
Ice Cream,178
Desserts,150
Burger,116
Biryani,112
Raw Meats,110
Beverages,79
Finger Food,78
Asian,77
Japanese,72
European,62
Mexican,62
Healthy Food,56
Indian,51
