Feature,Importance
num__Votes,0.5241110009230788
num__Longitude,0.12887500003239716
num__Latitude,0.1065154856863149
num__Average Cost for two,0.05492667840360527
cat__Country Code_1,0.04255627246643327
cat__Primary Cuisine_North Indian,0.015118200000886395
cat__Primary Cuisine_American,0.008742945125715674
cat__Primary Cuisine_Chinese,0.007999869755582605
cat__Country Code_30,0.007243344734080402
num__Price range,0.00705027126312552
cat__Primary Cuisine_Pizza,0.006440068662793466
cat__Has Online delivery_No,0.005076164051681829
cat__Has Online delivery_Yes,0.004927145687823704
cat__Primary Cuisine_Cafe,0.00459862514522588
cat__Primary Cuisine_Italian,0.004485436836866345
cat__Primary Cuisine_South Indian,0.004456273080482122
cat__Primary Cuisine_Bakery,0.0026095996428158546
cat__Primary Cuisine_Fast Food,0.002583696106913644
cat__Primary Cuisine_Continental,0.002538678838532493
cat__City_New Delhi,0.002403181238777486
cat__Has Table booking_No,0.002194252980745969
cat__Primary Cuisine_Ice Cream,0.0021100094377150365
cat__Has Table booking_Yes,0.0019389217691847343
cat__Primary Cuisine_Asian,0.0017681627909147915
cat__City_Rio de Janeiro,0.0016922671336860459
cat__Primary Cuisine_Biryani,0.00149756964315273
cat__Primary Cuisine_Desserts,0.001492561559300049
cat__Primary Cuisine_Mughlai,0.0014334550686649359
cat__City_Noida,0.0013086505750084913
cat__City_Gurgaon,0.001205778373320625
cat__City_Montville,0.001198819678555681
cat__Primary Cuisine_Burger,0.0011773457460740617
cat__Primary Cuisine_Lucknowi,0.0011752344447341556
cat__City_Puducherry,0.0011744014634869503
cat__Primary Cuisine_Modern Indian,0.0011618829394709252
cat__City_Ghaziabad,0.0011084553826743936
cat__Primary Cuisine_Finger Food,0.0010723265485531983
cat__Primary Cuisine_Beverages,0.0009404713854516569
cat__Primary Cuisine_Lebanese,0.0008830337845557183
cat__Primary Cuisine_Street Food,0.000841677633471736
cat__Primary Cuisine_Mexican,0.0008366837290218147
cat__Primary Cuisine_European,0.0007983791735605512
cat__Primary Cuisine_Seafood,0.0007723469262068593
cat__Primary Cuisine_Healthy Food,0.0006635938141487477
cat__Primary Cuisine_Mithai,0.0006569159939022402
cat__City_Faridabad,0.000533607440158003
cat__Is delivering now_Yes,0.0005312747385166168
cat__City_Guwahati,0.0005204556030686112
cat__City_Gainesville,0.0005162172781627132
cat__Country Code_208,0.000506733094895876
cat__Primary Cuisine_Indian,0.00048047205747579557
cat__Primary Cuisine_Turkish,0.00047670702379937923
cat__Primary Cuisine_Tibetan,0.0004759800104009374
cat__City_Nagpur,0.000458828565442324
cat__City_Sharjah,0.0004462393999775262
cat__City_Ankara,0.000444918410243173
cat__Is delivering now_No,0.00044320351956264565
cat__Primary Cuisine_Coffee and Tea,0.0004378404507182632
cat__Primary Cuisine_Southern,0.0004305965833639536
cat__Primary Cuisine_Thai,0.0004265583120929487
cat__Primary Cuisine_French,0.0003910876741126442
cat__Country Code_215,0.0003590090759893718
cat__Country Code_216,0.00035813292628623775
cat__City_Jaipur,0.00035273182450885573
cat__Primary Cuisine_Japanese,0.00035006582865178824
cat__City_Vizag,0.000343683196862321
