Locality,Restaurant Count,Percentage
Sector 33,5,0.06
Sector 47,5,0.06
Sector 52,5,0.06
"Tulip Mall, Sector 48, Noida",5,0.06
Asa Norte,4,0.04
Evans,4,0.04
Helen,4,0.04
I-Drive/Universal,4,0.04
Kihei,4,0.04
Downtown St Petersburg,4,0.04
Ranjit Avenue,4,0.04
Nirala Bazar,4,0.04
Arera Colony,4,0.04
Sector 26,4,0.04
Ashok Nagar,4,0.04
"Crown Plaza Mall, Sector 15, Faridabad",4,0.04
NIT,4,0.04
Sector 46,4,0.04
Sector 9,4,0.04
"Ansal Plaza Mall, Palam Vihar",4,0.04
DLF Phase 5,4,0.04
"MGF Mega City Mall, MG Road",4,0.04
"Park Plaza, Sushant Lok",4,0.04
Sector 30,4,0.04
Sector 5,4,0.04
Sikandarpur,4,0.04
"Unitech Cyber Park, Sector 39, Gurgaon",4,0.04
Uzan Bazaar,4,0.04
Ballygunge,4,0.04
Park Street Area,4,0.04
Bajaj Nagar,4,0.04
"Aditya Mega Mall, Karkardooma",4,0.04
Aerocity,4,0.04
"Crescent Square Mall, Rohini",4,0.04
Delhi Cantt.,4,0.04
Greater Kailash (GK) 3,4,0.04
INA,4,0.04
Mandi House,4,0.04
Panchsheel Park,4,0.04
The Leela Ambience Convention Hotel,4,0.04
"The Suryaa New Delhi, New Friends Colony",4,0.04
"The Taj Palace Hotel, Chanakyapuri",4,0.04
West Patel Nagar,4,0.04
Brahmaputra Shopping Complex,4,0.04
"Centre Stage Mall, Sector 18",4,0.04
"Jaypee Greens Golf & Spa Resort, Surajpur",4,0.04
Sector 3,4,0.04
Sector 71,4,0.04
Golambar,4,0.04
Koregaon Park,4,0.04
Lalpur,4,0.04
Piplod,4,0.04
Vesu,4,0.04
Alkapuri,4,0.04
Vadiwadi,4,0.04
Leith,4,0.04
New Town,4,0.04
Northern Quarter,4,0.04
"Cinnamon Gardens, Colombo 07",4,0.04
Karak�_y,4,0.04
"SM Megamall, Ortigas, Mandaluyong City",3,0.03
Kapitolyo,3,0.03
�guas Claras,3,0.03
Copacabana,3,0.03
Ipanema,3,0.03
Itaim Bibi,3,0.03
Jardim Paulista,3,0.03
Calhoun,3,0.03
Fort Oglethorpe,3,0.03
Ringgold,3,0.03
Flowery Branch,3,0.03
"Marina Centre, Downtown Core",3,0.03
Seminole Heights,3,0.03
Najda,3,0.03
"The Dubai Mall,Downtown Dubai",3,0.03
Abu Shagara,3,0.03
Al Majaz,3,0.03
University City,3,0.03
INA Colony,3,0.03
Koramangala 5th Block,3,0.03
Maharana Pratap Nagar,3,0.03
Velachery,3,0.03
Hathibarkala Salwala,3,0.03
Jakhan,3,0.03
